,Name,Type,Park Code,Org Code,Region,NameType
203,HOT SPRINGS     ,NP,HOSP,7300-7309,MWR,HOT SPRINGS NP
204,HOVENWEEP    ,NM,HOVE,1347,IMR,HOVENWEEP NM
205,HUBBELL TRADING POST      ,NHS,HUTR,7420,IMR,HUBBELL TRADING POST NHS
206,INDEPENDENCE  ,NHP,INDE,4450,NER,INDEPENDENCE NHP
207,INDIANA DUNES     ,NL,INDU,6300,MWR,INDIANA DUNES NL
208,ISLE ROYALE     ,NP,ISRO,6310,MWR,ISLE ROYALE NP
209,JAMES A. GARFIELD       ,NHS,JAGA,"6170, 6380",MWR,JAMES A. GARFIELD NHS
210,JEAN LAFITTE    ,NHP & PRES,JELA,7530-7539,SER,JEAN LAFITTE NHP & PRES
211,JEWEL CAVE     ,NM,JECA,1569,MWR,JEWEL CAVE NM
212,JIMMY CARTER       ,NHS,JICA,5690,SER,JIMMY CARTER NHS
213,JOHN DAY FOSSIL BEDS    ,NM,JODA,9325,PWR,JOHN DAY FOSSIL BEDS NM
215,JOHN FITZGERALD KENNEDY  ,NHS,JOFI,1850 (1805),NER,JOHN FITZGERALD KENNEDY NHS
216,JOHN MUIR      ,NHS,JOMU,8510,PWR,JOHN MUIR NHS
217,JOHNSTOWN FLOOD NM,NMEM,JOFL,4150,NER,JOHNSTOWN FLOOD NM NMEM
218,JOSHUA TREE    ,NP,JOTR,8330-8337,PWR,JOSHUA TREE NP
219,KALAUPAPA     ,NHP,KALA,8896,PWR,KALAUPAPA NHP
220,KALOKO-HONOKOHAU     ,NHP,KAHO,8320,PWR,KALOKO-HONOKOHAU NHP
222,KATMAI     ,NP,KATM,9796,AKR,KATMAI NP
223,KATMAI      ,NPRES,KATM,9796,AKR,KATMAI NPRES
224,KENAI  FJORDS     ,NP,KEFJ,9845,AKR,KENAI  FJORDS NP
225,KENNESAW MOUNTAIN       ,NBP,KEMO,5490,SER,KENNESAW MOUNTAIN NBP
226,KEWEENAW       ,NHP,KEWE,6410,MWR,KEWEENAW NHP
227,KINGS CANYON    ,NP,SEKI,8510,PWR,KINGS CANYON NP
228,KINGS MOUNTAIN       ,NMP,KIMO,5500,SER,KINGS MOUNTAIN NMP
229,KLONDIKE GOLD RUSH   ,NHP,KLSE,9580,PWR,KLONDIKE GOLD RUSH NHP
230,KLONDIKE GOLD RUSH   ,NHP,"KLGO
",9825,"AKR
",KLONDIKE GOLD RUSH NHP
231,KNIFE RIVER  INDIAN VILLAGES       ,NHS,KNRI,1548,MWR,KNIFE RIVER  INDIAN VILLAGES NHS
235,LAKE CLARK     ,NP,LACL,9855,AKR,LAKE CLARK NP
236,LAKE CLARK      ,NPRES,LACL,9855,AKR,LAKE CLARK NPRES
237,LAKE MEAD    ,NRA,LAKE,8360,PWR,LAKE MEAD NRA
238,LAKE ROOSEVELT    ,NRA,LARO,9260,PWR,LAKE ROOSEVELT NRA
239,LASSEN VOLCANIC    ,NP,LAVO,8400,PWR,LASSEN VOLCANIC NP
240,LAVA BEDS    ,NM,LABE,8410,PWR,LAVA BEDS NM
241,LAKE MEREDITH    ,NRA,LAMR,7540-7550,IMR,LAKE MEREDITH NRA
242,LEWIS AND CLARK  ,NHP,FOCL,9420,PWR,LEWIS AND CLARK NHP
244,LINCOLN BOYHOOD     ,NMEM,LIBO,6400,MWR,LINCOLN BOYHOOD NMEM
245,LINCOLN HOME        ,NHS,LIHO,6530,MWR,LINCOLN HOME NHS
246,LITTLE BIGHORN      ,NM,LIBI,1320,IMR,LITTLE BIGHORN NM
247,LITTLE RIVER CANYON     ,NPRES,LIRI,5279,SER,LITTLE RIVER CANYON NPRES
248,LITTLE ROCK CENTRAL HIGH SCHOOL ,NHS,CHSC,7310,MWR,LITTLE ROCK CENTRAL HIGH SCHOOL NHS
249,LONGFELLOW HOUSE -WASHINGTON'S HEADQUARTERS,NHS,LONG,1850 (1800),NER,LONGFELLOW HOUSE -WASHINGTON'S HEADQUARTERS NHS
